date,max_temperature,min_temperature,weather_condition,wind_info,air_quality_index,city,air_quality_status,city_id
2025-12-01,-6,-18,阴~阵雪,西北风2级,66,哈尔滨,良,50953
2025-12-02,-13,-21,多云,西南风3级,33,哈尔滨,优,50953
2025-12-03,-16,-18,晴,西南风2级,28,哈尔滨,优,50953
2025-12-04,-11,-17,晴,西南风2级,45,哈尔滨,优,50953
2025-12-05,-3,-7,多云,西南风3级,48,哈尔滨,优,50953
2025-12-06,0,-11,多云~晴,西南风2级,59,哈尔滨,良,50953
2025-12-07,-1,-15,阴~多云,西南风1级,101,哈尔滨,轻度,50953
2025-12-08,-5,-18,多云~晴,西南风2级,45,哈尔滨,优,50953
2025-12-09,-8,-16,晴,西南风1级,52,哈尔滨,良,50953
2025-12-10,-8,-20,晴,西北风2级,54,哈尔滨,良,50953
2025-12-11,-13,-21,多云~晴,西风2级,38,哈尔滨,优,50953
2025-12-12,-8,-18,晴,西南风2级,41,哈尔滨,优,50953
2025-12-13,-7,-17,晴,西南风1级,91,哈尔滨,良,50953
2025-12-14,-6,-16,多云~晴,南风2级,113,哈尔滨,轻度,50953
2025-12-15,-4,-20,多云~晴,西北风1级,73,哈尔滨,良,50953
2025-12-16,-14,-23,晴~多云,西北风1级,40,哈尔滨,优,50953
2025-12-17,-9,-18,阴~晴,西南风2级,63,哈尔滨,良,50953
2025-12-18,1,-11,多云~小雪,东南风1级,105,哈尔滨,轻度,50953
2025-12-19,4,-10,阴~多云,西南风3级,65,哈尔滨,良,50953
2025-12-20,-7,-16,多云~晴,西南风3级,29,哈尔滨,优,50953
2025-12-21,-10,-18,阴~晴,西南风2级,48,哈尔滨,优,50953
2025-12-22,-5,-7,多云~小雪,东南风3级,55,哈尔滨,良,50953
2025-12-23,-1,-21,小雪~晴,西南风2级,53,哈尔滨,良,50953
2025-12-24,-11,-26,雾~多云,西风2级,62,哈尔滨,良,50953
2025-12-25,-19,-28,阴~晴,西北风2级,58,哈尔滨,良,50953
2025-12-26,-18,-25,多云~晴,西南风2级,45,哈尔滨,优,50953
2025-12-27,-13,-19,多云,西南风2级,78,哈尔滨,良,50953
2025-12-28,-1,-17,多云,西南风3级,92,哈尔滨,良,50953
2025-12-29,-8,-19,晴,西南风2级,29,哈尔滨,优,50953
2025-12-30,-14,-25,多云,西风2级,29,哈尔滨,优,50953
2025-12-31,-17,-25,阴~晴,西风2级,39,哈尔滨,优,50953
2025-12-01,-2,-17,多云,北风2级,26,呼和浩特,优,53463
2025-12-02,-7,-16,晴,西风2级,23,呼和浩特,优,53463
2025-12-03,-3,-13,晴,南风1级,48,呼和浩特,优,53463
2025-12-04,0,-11,晴,南风1级,32,呼和浩特,优,53463
2025-12-05,1,-11,多云~晴,东风2级,51,呼和浩特,良,53463
2025-12-06,4,-10,晴,西北风1级,85,呼和浩特,良,53463
2025-12-07,0,-14,晴,西风2级,48,呼和浩特,优,53463
2025-12-08,0,-10,晴,东风2级,34,呼和浩特,优,53463
2025-12-09,4,-8,晴,东北风1级,64,呼和浩特,良,53463
2025-12-10,2,-8,阴,东南风1级,63,呼和浩特,良,53463
2025-12-11,3,-4,多云~中雪,北风1级,28,呼和浩特,优,53463
2025-12-12,-1,-13,小雪,北风1级,52,呼和浩特,良,53463
2025-12-13,-6,-15,晴,西南风2级,55,呼和浩特,良,53463
2025-12-14,-4,-15,晴,东北风2级,76,呼和浩特,良,53463
2025-12-15,-1,-9,多云~晴,东南风1级,92,呼和浩特,良,53463
2025-12-16,-1,-13,多云~晴,南风1级,112,呼和浩特,轻度,53463
2025-12-17,0,-10,多云~晴,东风1级,95,呼和浩特,良,53463
2025-12-18,3,-7,多云,东北风1级,77,呼和浩特,良,53463
2025-12-19,-1,-12,阴~多云,西风1级,56,呼和浩特,良,53463
2025-12-20,-4,-16,晴,西南风2级,24,呼和浩特,优,53463
2025-12-21,0,-10,多云,东北风1级,40,呼和浩特,优,53463
2025-12-22,0,-10,阴~阵雪,东北风1级,61,呼和浩特,良,53463
2025-12-23,-2,-13,晴,西北风2级,35,呼和浩特,优,53463
2025-12-24,-2,-17,阴~晴,东南风1级,36,呼和浩特,优,53463
2025-12-25,-5,-14,晴,东南风1级,32,呼和浩特,优,53463
2025-12-26,-2,-14,阴~晴,东风1级,59,呼和浩特,良,53463
2025-12-27,-1,-11,阴~多云,东南风1级,68,呼和浩特,良,53463
2025-12-28,0,-15,晴,南风2级,65,呼和浩特,良,53463
2025-12-29,-2,-13,阴~晴,东南风1级,44,呼和浩特,优,53463
2025-12-30,-3,-17,多云~晴,东南风1级,22,呼和浩特,优,53463
2025-12-31,-2,-18,多云~晴,东北风1级,30,呼和浩特,优,53463
2025-12-01,-3,-17,多云~小雪,西南风2级,75,长春,良,54161
2025-12-02,-12,-20,晴,西风3级,37,长春,优,54161
2025-12-03,-15,-18,晴,西南风3级,22,长春,优,54161
2025-12-04,-8,-14,晴,西风2级,40,长春,优,54161
2025-12-05,0,-2,晴,西南风3级,44,长春,优,54161
2025-12-06,3,-8,多云~晴,西南风3级,56,长春,良,54161
2025-12-07,1,-11,多云~晴,西风2级,56,长春,良,54161
2025-12-08,-2,-11,晴,西南风3级,37,长春,优,54161
2025-12-09,-4,-10,多云~晴,西南风1级,64,长春,良,54161
2025-12-10,-6,-16,多云,东北风2级,90,长春,良,54161
2025-12-11,-12,-18,多云,西北风2级,34,长春,优,54161
2025-12-12,-8,-14,多云~阴,西南风2级,57,长春,良,54161
2025-12-13,-6,-15,阴~晴,西风1级,84,长春,良,54161
2025-12-14,-4,-10,多云~晴,西南风2级,112,长春,轻度,54161
2025-12-15,-1,-15,阴~晴,西南风2级,73,长春,良,54161
2025-12-16,-10,-15,晴,东北风2级,58,长春,良,54161
2025-12-17,-6,-11,阴~晴,西南风2级,76,长春,良,54161
2025-12-18,0,-3,阴~雨夹雪,西南风2级,79,长春,良,54161
2025-12-19,6,-8,阴~晴,西南风3级,70,长春,良,54161
2025-12-20,-5,-16,晴,西风3级,39,长春,优,54161
2025-12-21,-9,-15,阴~晴,西南风2级,42,长春,优,54161
2025-12-22,-2,-3,晴~小雪,东南风3级,45,长春,优,54161
2025-12-23,0,-17,小雪~晴,西南风3级,63,长春,良,54161
2025-12-24,-8,-21,晴,西南风2级,70,长春,良,54161
2025-12-25,-17,-26,多云~晴,西风2级,32,长春,优,54161
2025-12-26,-17,-20,晴,西南风2级,59,长春,良,54161
2025-12-27,-9,-12,晴,西南风2级,64,长春,良,54161
2025-12-28,0,-13,多云~晴,西南风3级,103,长春,轻度,54161
2025-12-29,-6,-16,晴,西南风2级,31,长春,优,54161
2025-12-30,-11,-22,晴,西风2级,29,长春,优,54161
2025-12-31,-15,-25,多云~晴,西风2级,46,长春,优,54161
2025-12-01,0,-15,多云~晴,西北风3级,50,沈阳,优,54342
2025-12-02,-8,-17,晴,西北风3级,25,沈阳,优,54342
2025-12-03,-9,-15,晴,西南风2级,30,沈阳,优,54342
2025-12-04,-3,-15,多云~晴,西北风2级,51,沈阳,良,54342
2025-12-05,5,0,晴,南风3级,62,沈阳,良,54342
2025-12-06,7,-6,多云,西南风2级,88,沈阳,良,54342
2025-12-07,6,-8,多云~晴,西北风2级,128,沈阳,轻度,54342
2025-12-08,0,-9,晴,西南风2级,42,沈阳,优,54342
2025-12-09,1,-10,晴~多云,东风1级,61,沈阳,良,54342
2025-12-10,0,-12,阴~中雪,北风2级,127,沈阳,轻度,54342
