date,max_temperature,min_temperature,weather_condition,wind_info,air_quality_index,city,air_quality_status,city_id
2025-10-01,24,7,阴~多云,西风2级,44,哈尔滨,优,50953
2025-10-02,25,15,多云~晴,西南风2级,52,哈尔滨,良,50953
2025-10-03,27,17,多云,西南风3级,51,哈尔滨,良,50953
2025-10-04,20,7,多云,西北风3级,37,哈尔滨,优,50953
2025-10-05,15,2,阴~晴,西北风3级,23,哈尔滨,优,50953
2025-10-06,15,5,多云,东风3级,31,哈尔滨,优,50953
2025-10-07,19,3,阴~多云,西南风3级,42,哈尔滨,优,50953
2025-10-08,12,1,多云~晴,西北风3级,17,哈尔滨,优,50953
2025-10-09,13,1,阴~晴,东北风1级,46,哈尔滨,优,50953
2025-10-10,15,4,晴~多云,东南风2级,58,哈尔滨,良,50953
2025-10-11,16,1,阴~晴,西南风2级,50,哈尔滨,优,50953
2025-10-12,11,3,多云~晴,北风2级,26,哈尔滨,优,50953
2025-10-13,11,1,阴~多云,东风3级,48,哈尔滨,优,50953
2025-10-14,10,2,阴~阵雨,东北风3级,48,哈尔滨,优,50953
2025-10-15,2,-3,暴雪~雨夹雪,东北风3级,56,哈尔滨,良,50953
2025-10-16,5,-1,雨夹雪,北风3级,36,哈尔滨,优,50953
2025-10-17,1,-4,中雪~多云,西北风2级,97,哈尔滨,良,50953
2025-10-18,3,-5,阴~多云,西风3级,20,哈尔滨,优,50953
2025-10-19,2,-6,小雪~晴,西风3级,26,哈尔滨,优,50953
2025-10-20,4,-4,雨夹雪~晴,西风3级,28,哈尔滨,优,50953
2025-10-21,7,-4,晴,西风3级,31,哈尔滨,优,50953
2025-10-22,8,-5,晴,西风2级,42,哈尔滨,优,50953
2025-10-23,6,-4,晴,北风2级,45,哈尔滨,优,50953
2025-10-24,7,-4,多云~晴,西南风3级,64,哈尔滨,良,50953
2025-10-25,10,-3,晴~多云,西南风3级,104,哈尔滨,轻度,50953
2025-10-26,5,-3,晴~阵雪,西南风4级,36,哈尔滨,优,50953
2025-10-27,1,-6,阴~多云,西北风4级,58,哈尔滨,良,50953
2025-10-28,4,-5,晴,西北风3级,74,哈尔滨,良,50953
2025-10-29,9,-3,多云,东南风4级,253,哈尔滨,重度,50953
2025-10-30,8,-2,晴,西风3级,118,哈尔滨,轻度,50953
2025-10-31,11,-2,多云,西南风2级,89,哈尔滨,良,50953
2025-10-01,21,8,阴~晴,南风2级,58,呼和浩特,良,53463
2025-10-02,22,9,多云~晴,南风3级,52,呼和浩特,良,53463
2025-10-03,21,9,多云,西南风3级,52,呼和浩特,良,53463
2025-10-04,22,10,雾~多云,东南风2级,52,呼和浩特,良,53463
2025-10-05,20,10,阴,西北风2级,59,呼和浩特,良,53463
2025-10-06,21,11,雾~多云,西南风1级,56,呼和浩特,良,53463
2025-10-07,22,8,多云~小雨,西北风3级,44,呼和浩特,优,53463
2025-10-08,10,8,中雨~小雨,东北风4级,25,呼和浩特,优,53463
2025-10-09,14,7,阴~多云,东风3级,16,呼和浩特,优,53463
2025-10-10,13,8,阴~小雨,北风1级,23,呼和浩特,优,53463
2025-10-11,18,9,阴~多云,西北风1级,31,呼和浩特,优,53463
2025-10-12,19,6,阴~晴,西南风2级,36,呼和浩特,优,53463
2025-10-13,18,7,多云,南风3级,64,呼和浩特,良,53463
2025-10-14,20,8,雾~多云,南风3级,59,呼和浩特,良,53463
2025-10-15,18,7,阴~小雨,西南风2级,28,呼和浩特,优,53463
2025-10-16,16,3,小雨,西南风2级,42,呼和浩特,优,53463
2025-10-17,6,-2,多云~晴,北风4级,18,呼和浩特,优,53463
2025-10-18,5,-6,多云,北风2级,19,呼和浩特,优,53463
2025-10-19,4,-4,晴,北风3级,20,呼和浩特,优,53463
2025-10-20,9,-2,多云~晴,北风2级,22,呼和浩特,优,53463
2025-10-21,11,2,晴~雨夹雪,东南风2级,38,呼和浩特,优,53463
2025-10-22,8,-1,中雨~晴,北风2级,42,呼和浩特,优,53463
2025-10-23,12,0,多云,西北风1级,36,呼和浩特,优,53463
2025-10-24,11,-2,阴~多云,西风2级,63,呼和浩特,良,53463
2025-10-25,13,-2,多云~晴,西北风3级,30,呼和浩特,优,53463
2025-10-26,6,-5,晴,西北风3级,21,呼和浩特,优,53463
2025-10-27,11,-3,晴,西南风2级,37,呼和浩特,优,53463
2025-10-28,14,1,晴,南风3级,58,呼和浩特,良,53463
2025-10-29,15,0,多云~晴,西北风2级,61,呼和浩特,良,53463
2025-10-30,14,-1,晴,北风2级,26,呼和浩特,优,53463
2025-10-31,11,-3,多云~晴,西北风4级,31,呼和浩特,优,53463
2025-10-01,25,14,多云~晴,西南风3级,45,长春,优,54161
2025-10-02,27,15,雾~晴,西南风3级,56,长春,良,54161
2025-10-03,27,17,晴,西南风3级,49,长春,优,54161
2025-10-04,24,10,多云,西风2级,42,长春,优,54161
