date,max_temperature,min_temperature,weather_condition,wind_info,air_quality_index,city,air_quality_status,city_id
2026-02-01,-11,-22,多云~晴,西南风2级,83,哈尔滨,良,50953
2026-02-02,-7,-15,晴,西南风2级,68,哈尔滨,良,50953
2026-02-03,-1,-18,晴,西南风3级,61,哈尔滨,良,50953
2026-02-04,-7,-16,多云~小雪,西北风2级,102,哈尔滨,轻度,50953
2026-02-05,-12,-25,多云,西北风3级,66,哈尔滨,良,50953
2026-02-06,-18,-29,阴~多云,西北风3级,32,哈尔滨,优,50953
2026-02-07,-16,-26,阴~晴,西风2级,67,哈尔滨,良,50953
2026-02-08,-9,-16,晴,西南风2级,47,哈尔滨,优,50953
2026-02-09,-3,-16,阴~多云,南风2级,92,哈尔滨,良,50953
2026-02-10,-6,-18,多云,西北风2级,150,哈尔滨,轻度,50953
2026-02-11,-3,-18,多云~晴,西南风2级,78,哈尔滨,良,50953
2026-02-12,0,-15,阴~晴,南风2级,76,哈尔滨,良,50953
2026-02-13,0,-10,晴~多云,西南风2级,77,哈尔滨,良,50953
2026-02-14,1,-11,多云~阵雪,西南风2级,120,哈尔滨,轻度,50953
2026-02-15,-6,-16,阴~晴,西北风3级,29,哈尔滨,优,50953
2026-02-16,0,-12,晴~多云,西南风3级,52,哈尔滨,良,50953
2026-02-17,-4,-20,小雪~晴,西风1级,76,哈尔滨,良,50953
2026-02-18,-6,-13,多云~晴,西南风2级,41,哈尔滨,优,50953
2026-02-19,0,-10,多云~晴,西南风3级,65,哈尔滨,良,50953
2026-02-20,8,-3,多云,西南风3级,80,哈尔滨,良,50953
2026-02-21,10,-1,多云~小雨,东南风3级,81,哈尔滨,良,50953
2026-02-22,-3,-12,小雪~阵雪,西北风4级,91,哈尔滨,良,50953
2026-02-23,-8,-16,阴~晴,西南风4级,55,哈尔滨,良,50953
2026-02-24,-5,-13,晴,西南风3级,30,哈尔滨,优,50953
2026-02-25,7,-10,阴~多云,东南风3级,115,哈尔滨,轻度,50953
2026-02-26,-6,-16,多云~晴,西北风2级,33,哈尔滨,优,50953
2026-02-27,-6,-17,阴~多云,东北风3级,36,哈尔滨,优,50953
2026-02-28,-5,-13,晴~多云,东北风2级,39,哈尔滨,优,50953
2026-02-01,2,-13,多云~晴,西南风2级,44,呼和浩特,优,53463
2026-02-02,2,-11,晴,东南风1级,29,呼和浩特,优,53463
2026-02-03,2,-11,阴~晴,东风2级,47,呼和浩特,优,53463
2026-02-04,4,-11,晴~多云,东南风1级,66,呼和浩特,良,53463
2026-02-05,-3,-13,多云,西北风3级,26,呼和浩特,优,53463
2026-02-06,-6,-17,阴~晴,西北风2级,23,呼和浩特,优,53463
2026-02-07,-3,-16,晴,西南风2级,29,呼和浩特,优,53463
2026-02-08,1,-11,阴~晴,东风2级,39,呼和浩特,优,53463
2026-02-09,4,-11,阴~晴,东风1级,46,呼和浩特,优,53463
2026-02-10,3,-12,多云~晴,西北风2级,57,呼和浩特,良,53463
2026-02-11,5,-10,阴~晴,东风2级,49,呼和浩特,优,53463
