date,max_temperature,min_temperature,weather_condition,wind_info,air_quality_index,city,air_quality_status,city_id
2025-05-01,15,3,阴~晴,东北风2级,48,哈尔滨,优,50953
2025-05-02,17,6,阴~多云,西风3级,40,哈尔滨,优,50953
2025-05-03,15,3,小雨,西北风2级,39,哈尔滨,优,50953
2025-05-04,14,5,小雨~晴,西北风3级,22,哈尔滨,优,50953
2025-05-05,16,4,多云,西北风3级,25,哈尔滨,优,50953
2025-05-06,16,4,阴~晴,东南风1级,33,哈尔滨,优,50953
2025-05-07,17,5,小雨~多云,东南风2级,38,哈尔滨,优,50953
2025-05-08,15,10,小雨~中雨,东南风3级,37,哈尔滨,优,50953
2025-05-09,18,6,雾~多云,北风2级,32,哈尔滨,优,50953
2025-05-10,20,9,晴,东北风3级,30,哈尔滨,优,50953
2025-05-11,26,13,晴~多云,西南风4级,42,哈尔滨,优,50953
2025-05-12,25,14,多云~阵雨,西南风4级,65,哈尔滨,良,50953
2025-05-13,24,14,阴~小雨,南风4级,53,哈尔滨,良,50953
2025-05-14,17,8,阴~晴,西南风3级,41,哈尔滨,优,50953
2025-05-15,22,9,多云,西南风4级,60,哈尔滨,良,50953
2025-05-16,11,8,小雨~中雨,东北风3级,30,哈尔滨,优,50953
2025-05-17,12,5,阴~多云,西北风3级,22,哈尔滨,优,50953
2025-05-18,17,8,晴~多云,西风4级,25,哈尔滨,优,50953
2025-05-19,18,6,阴~晴,西风3级,28,哈尔滨,优,50953
2025-05-20,20,6,阴~晴,西北风3级,40,哈尔滨,优,50953
2025-05-21,20,9,阴~多云,西北风3级,35,哈尔滨,优,50953
2025-05-22,20,8,晴,北风3级,25,哈尔滨,优,50953
2025-05-23,23,9,多云~小雨,北风2级,30,哈尔滨,优,50953
2025-05-24,19,7,小雨~晴,东北风2级,25,哈尔滨,优,50953
2025-05-25,23,12,晴~多云,东北风2级,40,哈尔滨,优,50953
2025-05-26,23,13,多云,西南风2级,35,哈尔滨,优,50953
2025-05-27,28,15,晴,东南风2级,42,哈尔滨,优,50953
2025-05-28,29,17,晴,西南风3级,67,哈尔滨,良,50953
2025-05-29,29,17,晴,西南风4级,49,哈尔滨,优,50953
2025-05-30,31,24,多云,南风4级,58,哈尔滨,良,50953
2025-05-31,28,15,阴~雷阵雨,西南风3级,64,哈尔滨,良,50953
2025-05-01,20,9,阴~小雨,东南风1级,40,呼和浩特,优,53463
2025-05-02,13,2,阴~晴,东北风4级,28,呼和浩特,优,53463
2025-05-03,18,5,晴~多云,西北风2级,29,呼和浩特,优,53463
2025-05-04,16,6,阴~多云,西南风2级,39,呼和浩特,优,53463
2025-05-05,8,4,中雨~多云,西南风2级,74,呼和浩特,良,53463
2025-05-06,16,6,多云~晴,西南风1级,37,呼和浩特,优,53463
2025-05-07,23,10,多云,西南风3级,62,呼和浩特,良,53463
2025-05-08,18,8,阴~小雨,北风2级,58,呼和浩特,良,53463
2025-05-09,13,4,阴~多云,东北风5级,38,呼和浩特,优,53463
2025-05-10,21,7,晴,西北风2级,52,呼和浩特,良,53463
2025-05-11,27,11,多云,西南风2级,44,呼和浩特,优,53463
2025-05-12,26,11,阴~多云,西南风3级,56,呼和浩特,良,53463
2025-05-13,27,8,多云~小雨,西北风2级,50,呼和浩特,优,53463
2025-05-14,23,10,晴,西南风2级,35,呼和浩特,优,53463
2025-05-15,29,13,晴,西南风4级,46,呼和浩特,优,53463
2025-05-16,28,5,多云~晴,西风5级,131,呼和浩特,轻度,53463
2025-05-17,15,4,多云~晴,西北风3级,42,呼和浩特,优,53463
2025-05-18,25,11,多云,西风4级,43,呼和浩特,优,53463
2025-05-19,32,14,晴,西南风3级,44,呼和浩特,优,53463
2025-05-20,33,16,阴~晴,西风3级,66,呼和浩特,良,53463
2025-05-21,31,12,多云~中雨,东北风3级,41,呼和浩特,优,53463
2025-05-22,14,5,阴~中雨,东北风4级,33,呼和浩特,优,53463
2025-05-23,15,4,小雨~晴,东北风4级,58,呼和浩特,良,53463
2025-05-24,20,8,多云~晴,西南风2级,37,呼和浩特,优,53463
2025-05-25,24,9,小雨~晴,西南风2级,43,呼和浩特,优,53463
2025-05-26,24,10,多云~晴,西南风3级,32,呼和浩特,优,53463
2025-05-27,26,12,晴,西南风2级,47,呼和浩特,优,53463
2025-05-28,27,14,多云,西南风3级,68,呼和浩特,良,53463
2025-05-29,28,15,阴,西南风4级,66,呼和浩特,良,53463
2025-05-30,21,13,小雨,西南风3级,50,呼和浩特,优,53463
2025-05-31,24,12,晴~多云,东北风3级,30,呼和浩特,优,53463
2025-05-01,12,4,阴~多云,北风2级,33,长春,优,54161
2025-05-02,17,6,阴~多云,西风3级,32,长春,优,54161
2025-05-03,13,4,小雨~多云,西北风4级,27,长春,优,54161
2025-05-04,15,5,阴,西北风3级,28,长春,优,54161
2025-05-05,17,5,阴~晴,西南风4级,40,长春,优,54161
2025-05-06,16,8,阴~晴,西南风3级,39,长春,优,54161
2025-05-07,21,9,阴~小雨,西南风4级,49,长春,优,54161
2025-05-08,20,11,小雨,西南风3级,47,长春,优,54161
2025-05-09,14,10,阴~多云,西北风2级,40,长春,优,54161
2025-05-10,20,10,多云~晴,东北风4级,35,长春,优,54161
2025-05-11,25,12,晴,西南风3级,49,长春,优,54161
2025-05-12,26,16,阴~多云,西南风4级,62,长春,良,54161
2025-05-13,27,15,阴~小雨,西南风4级,59,长春,良,54161
2025-05-14,15,8,大雨~多云,西北风3级,52,长春,良,54161
2025-05-15,22,10,多云,西南风4级,59,长春,良,54161
2025-05-16,26,10,阴~中雨,西南风4级,35,长春,优,54161
2025-05-17,12,7,阴~多云,西北风3级,29,长春,优,54161
2025-05-18,18,10,多云~小雨,西南风4级,38,长春,优,54161
2025-05-19,19,10,阴~晴,西风4级,34,长春,优,54161
2025-05-20,19,9,阴~晴,西北风2级,32,长春,优,54161
2025-05-21,22,9,阴~多云,西北风3级,46,长春,优,54161
2025-05-22,20,10,阴~晴,北风3级,39,长春,优,54161
2025-05-23,23,10,多云~晴,北风2级,41,长春,优,54161
2025-05-24,22,11,阴~晴,北风2级,31,长春,优,54161
2025-05-25,25,14,多云,东北风2级,36,长春,优,54161
2025-05-26,26,15,阴~晴,西南风2级,43,长春,优,54161
2025-05-27,28,15,晴,西南风3级,56,长春,良,54161
2025-05-28,28,17,晴,南风3级,62,长春,良,54161
2025-05-29,28,17,晴,西南风3级,55,长春,良,54161
2025-05-30,30,20,晴~阴,西南风4级,77,长春,良,54161
2025-05-31,27,17,阴~小雨,西南风4级,80,长春,良,54161
2025-05-01,10,3,小雨~晴,北风2级,30,沈阳,优,54342
2025-05-02,18,9,多云~雷阵雨,西南风3级,41,沈阳,优,54342
2025-05-03,18,5,小雨~晴,西北风3级,38,沈阳,优,54342
2025-05-04,17,8,晴~多云,西北风3级,43,沈阳,优,54342
2025-05-05,15,8,中雨~阵雨,南风3级,43,沈阳,优,54342
2025-05-06,18,7,多云,东北风2级,37,沈阳,优,54342
2025-05-07,22,11,阴~雷阵雨,西南风3级,55,沈阳,良,54342
2025-05-08,23,12,阴~多云,西南风4级,43,沈阳,优,54342
2025-05-09,19,13,阴~多云,东北风1级,54,沈阳,良,54342
2025-05-10,23,9,多云~晴,东北风4级,44,沈阳,优,54342
2025-05-11,27,12,晴,西南风3级,65,沈阳,良,54342
2025-05-12,28,16,多云,南风4级,62,沈阳,良,54342
2025-05-13,28,13,阴~多云,南风4级,60,沈阳,良,54342
2025-05-14,20,8,中雨~多云,西北风2级,56,沈阳,良,54342
2025-05-15,26,13,多云,西南风4级,54,沈阳,良,54342
2025-05-16,27,10,晴~大雨,南风4级,43,沈阳,优,54342
2025-05-17,14,7,小雨~晴,西北风2级,30,沈阳,优,54342
2025-05-18,20,9,阴~雷阵雨,西南风3级,37,沈阳,优,54342
2025-05-19,23,11,阴~雷阵雨,西南风4级,44,沈阳,优,54342
2025-05-20,25,15,多云,东北风2级,66,沈阳,良,54342
2025-05-21,26,12,多云~晴,东北风3级,54,沈阳,良,54342
2025-05-22,24,11,多云,西北风3级,76,沈阳,良,54342
2025-05-23,24,11,多云~晴,东北风3级,40,沈阳,优,54342
2025-05-24,24,11,阴~晴,西北风2级,48,沈阳,优,54342
