date,max_temperature,min_temperature,weather_condition,wind_info,air_quality_index,city,air_quality_status,city_id
2026-01-01,-16,-24,阴~晴,西北风2级,41,哈尔滨,优,50953
2026-01-02,-12,-20,晴~多云,西南风2级,56,哈尔滨,良,50953
2026-01-03,-11,-20,晴,西南风1级,97,哈尔滨,良,50953
2026-01-04,-9,-18,多云~晴,西风2级,48,哈尔滨,优,50953
2026-01-05,-10,-19,阴~晴,西风2级,44,哈尔滨,优,50953
2026-01-06,-7,-16,多云~小雪,西南风2级,55,哈尔滨,良,50953
2026-01-07,-13,-25,阴~晴,西北风3级,33,哈尔滨,优,50953
2026-01-08,-12,-20,阴~小雪,南风3级,43,哈尔滨,优,50953
2026-01-09,-12,-23,阴~多云,西北风1级,65,哈尔滨,良,50953
2026-01-10,-16,-27,阴~晴,西北风2级,66,哈尔滨,良,50953
2026-01-11,-17,-22,阴~阵雪,西北风2级,69,哈尔滨,良,50953
2026-01-12,-15,-24,阴~阵雪,西南风1级,75,哈尔滨,良,50953
2026-01-13,-18,-26,阴~晴,西南风3级,58,哈尔滨,良,50953
2026-01-14,-14,-26,阴~多云,西南风1级,48,哈尔滨,优,50953
2026-01-15,-18,-27,晴,西北风2级,92,哈尔滨,良,50953
2026-01-16,-15,-25,多云,西南风2级,67,哈尔滨,良,50953
2026-01-17,-16,-30,晴,西南风2级,48,哈尔滨,优,50953
2026-01-18,-17,-29,阴~多云,西南风1级,74,哈尔滨,良,50953
2026-01-19,-19,-23,阴~小雪,西南风2级,46,哈尔滨,优,50953
2026-01-20,-18,-26,阴~多云,西南风2级,33,哈尔滨,优,50953
2026-01-21,-18,-26,阴~晴,西南风2级,45,哈尔滨,优,50953
2026-01-22,-18,-29,晴,西南风2级,40,哈尔滨,优,50953
2026-01-23,-16,-28,阴~多云,西南风2级,54,哈尔滨,良,50953
2026-01-24,-15,-25,阴~晴,西风2级,79,哈尔滨,良,50953
2026-01-25,-15,-26,阴~晴,西风2级,74,哈尔滨,良,50953
2026-01-26,-13,-24,多云,西南风1级,91,哈尔滨,良,50953
2026-01-27,-13,-25,阴~多云,西风2级,68,哈尔滨,良,50953
2026-01-28,-13,-25,多云,西南风1级,67,哈尔滨,良,50953
2026-01-29,-14,-21,阴~晴,西北风2级,57,哈尔滨,良,50953
2026-01-30,-12,-21,阴~晴,西南风2级,41,哈尔滨,优,50953
2026-01-31,-10,-22,阴~多云,西南风2级,103,哈尔滨,轻度,50953
2026-01-01,-4,-17,阴~晴,东南风1级,79,呼和浩特,良,53463
2026-01-02,-4,-16,阴~晴,东南风1级,65,呼和浩特,良,53463
2026-01-03,-2,-14,多云,东南风1级,68,呼和浩特,良,53463
2026-01-04,-1,-14,多云~晴,北风1级,68,呼和浩特,良,53463
2026-01-05,-4,-14,多云,西南风1级,44,呼和浩特,优,53463
2026-01-06,-5,-17,多云~晴,南风1级,59,呼和浩特,良,53463
2026-01-07,-4,-14,多云,南风2级,63,呼和浩特,良,53463
2026-01-08,-2,-12,多云,东南风1级,69,呼和浩特,良,53463
