date,max_temperature,min_temperature,weather_condition,wind_info,air_quality_index,city,air_quality_status,city_id
2025-11-01,7,-5,雨夹雪~小雪,西南风1级,211,哈尔滨,重度,50953
2025-11-02,0,-7,阴~晴,西北风3级,26,哈尔滨,优,50953
2025-11-03,6,0,阴~晴,西南风4级,82,哈尔滨,良,50953
2025-11-04,11,-2,晴,西风3级,91,哈尔滨,良,50953
2025-11-05,10,-2,多云,东南风3级,172,哈尔滨,中度,50953
2025-11-06,9,-5,多云~晴,西风3级,243,哈尔滨,重度,50953
2025-11-07,0,-5,多云~雨夹雪,东北风3级,53,哈尔滨,良,50953
2025-11-08,2,-2,多云~阵雪,南风3级,204,哈尔滨,重度,50953
2025-11-09,4,-7,阴~多云,西风4级,40,哈尔滨,优,50953
2025-11-10,0,-8,阴~晴,西风3级,39,哈尔滨,优,50953
2025-11-11,4,-4,晴,西南风3级,53,哈尔滨,良,50953
2025-11-12,10,-3,晴,西南风4级,163,哈尔滨,中度,50953
2025-11-13,3,-6,晴,西北风4级,46,哈尔滨,优,50953
2025-11-14,4,-9,晴,东北风1级,128,哈尔滨,轻度,50953
2025-11-15,6,0,阴~多云,东南风3级,144,哈尔滨,轻度,50953
2025-11-16,2,-9,多云~阵雪,西南风4级,76,哈尔滨,良,50953
2025-11-17,-4,-11,阴~多云,西北风4级,28,哈尔滨,优,50953
2025-11-18,-2,-9,晴,西风2级,56,哈尔滨,良,50953
2025-11-19,5,-5,晴~多云,西南风3级,89,哈尔滨,良,50953
2025-11-20,1,-8,阴~多云,西风3级,61,哈尔滨,良,50953
2025-11-21,1,-3,晴,西南风2级,66,哈尔滨,良,50953
2025-11-22,7,-2,多云~晴,西南风3级,273,哈尔滨,重度,50953
2025-11-23,6,-4,晴~多云,西南风2级,179,哈尔滨,中度,50953
2025-11-24,0,-9,多云~晴,西北风2级,151,哈尔滨,中度,50953
2025-11-25,0,-7,多云,西南风2级,112,哈尔滨,轻度,50953
2025-11-26,0,-4,多云~小雪,西南风2级,275,哈尔滨,重度,50953
2025-11-27,-5,-13,浮尘~晴,西北风2级,92,哈尔滨,良,50953
2025-11-28,-3,-7,晴~小雪,南风2级,59,哈尔滨,良,50953
2025-11-29,4,-12,阴~多云,西南风3级,53,哈尔滨,良,50953
2025-11-30,-6,-15,多云~晴,西风2级,53,哈尔滨,良,50953
2025-11-01,13,-3,晴,西北风4级,42,呼和浩特,优,53463
2025-11-02,12,-1,晴,南风2级,27,呼和浩特,优,53463
2025-11-03,13,-2,晴,西南风2级,50,呼和浩特,优,53463
2025-11-04,15,2,多云,东南风3级,62,呼和浩特,良,53463
2025-11-05,16,5,雾~多云,南风2级,57,呼和浩特,良,53463
2025-11-06,12,5,小雨,东南风3级,50,呼和浩特,优,53463
2025-11-07,7,-2,小雨~多云,南风3级,38,呼和浩特,优,53463
2025-11-08,8,-5,晴,西风5级,59,呼和浩特,良,53463
2025-11-09,7,-5,晴,西北风4级,61,呼和浩特,良,53463
2025-11-10,8,-4,多云~晴,西南风2级,50,呼和浩特,优,53463
2025-11-11,10,-2,晴,南风2级,62,呼和浩特,良,53463
2025-11-12,9,-6,晴,西北风4级,50,呼和浩特,优,53463
2025-11-13,6,-6,晴,南风2级,46,呼和浩特,优,53463
2025-11-14,8,-4,晴,西南风3级,64,呼和浩特,良,53463
2025-11-15,8,-7,多云~晴,西风3级,79,呼和浩特,良,53463
2025-11-16,-3,-13,晴,西北风5级,17,呼和浩特,优,53463
2025-11-17,-3,-9,晴,西北风4级,17,呼和浩特,优,53463
2025-11-18,1,-9,晴,西北风3级,34,呼和浩特,优,53463
2025-11-19,2,-10,晴,东南风1级,63,呼和浩特,良,53463
2025-11-20,3,-10,浮尘~晴,南风1级,104,呼和浩特,轻度,53463
2025-11-21,4,-9,晴,东南风1级,92,呼和浩特,良,53463
2025-11-22,4,-7,晴,东南风1级,77,呼和浩特,良,53463
2025-11-23,6,-4,晴~阴,东南风1级,110,呼和浩特,轻度,53463
2025-11-24,-1,-9,晴,西北风2级,37,呼和浩特,优,53463
2025-11-25,2,-6,晴,东风1级,60,呼和浩特,良,53463
2025-11-26,1,-10,多云,西北风2级,105,呼和浩特,轻度,53463
2025-11-27,0,-8,晴~多云,东南风1级,56,呼和浩特,良,53463
2025-11-28,5,-7,多云~晴,东风1级,108,呼和浩特,轻度,53463
2025-11-29,6,-5,晴,东风1级,137,呼和浩特,轻度,53463
2025-11-30,0,-10,晴,西风2级,73,呼和浩特,良,53463
2025-11-01,6,-3,小雨~雨夹雪,西风2级,81,长春,良,54161
2025-11-02,0,-4,阴~晴,西北风3级,42,长春,优,54161
2025-11-03,7,4,晴,西南风4级,39,长春,优,54161
2025-11-04,10,0,多云~晴,西风3级,79,长春,良,54161
2025-11-05,12,-1,阴~晴,西南风3级,159,长春,中度,54161
2025-11-06,9,-1,多云~晴,西北风2级,99,长春,良,54161
2025-11-07,2,-2,多云~雨夹雪,东北风4级,146,长春,轻度,54161
